dia,pvs_totales,pvs_totales_usa,pvs_totales_mexico,pvs_ole_usa,pvs_ole_no_usa,notas_unicas,notas_unicas_usa,porc_notas_unicas_usa,browsers_unicos,browsers_unicos_arg,browsers_unicos_mex,browsers_unicos_usa,browsers_unicos_otros
2023-10-01 00:00:00,152170,123095,29075,0,152170,2405,0,0,50869,1899,11193,36646,1131
2023-10-02 00:00:00,100833,79873,20960,0,100833,2102,0,0,31185,1352,6432,22683,718
2023-10-03 00:00:00,89094,69744,19350,0,89094,2060,0,0,28243,1211,6814,19573,645
2023-10-04 00:00:00,107829,85074,22755,0,107829,2024,0,0,34458,1404,7870,24423,761
2023-10-05 00:00:00,140965,113412,27553,0,140965,2283,0,0,42530,1743,8717,31030,1040
2023-10-06 00:00:00,128526,103845,24681,0,128526,2280,0,0,40825,1856,7557,30156,1256
2023-10-07 00:00:00,101898,76979,24919,0,101898,2030,0,0,38124,1441,12134,23706,843
2023-10-08 00:00:00,112373,86527,25846,0,112373,2199,0,0,38453,1642,11667,24205,939
2023-10-09 00:00:00,90416,70631,19785,0,90416,2051,0,0,29294,1429,7704,19459,702
2023-10-10 00:00:00,96790,74558,22232,0,96790,2057,0,0,31310,1414,8943,20242,711
2023-10-11 00:00:00,92101,71336,20765,0,92101,2005,0,0,32800,1474,9459,21194,673
2023-10-12 00:00:00,147093,120080,27013,0,147093,2250,0,0,56362,1722,10352,43027,1261
2023-10-13 00:00:00,122155,97758,24397,0,122155,2058,0,0,47457,1525,10364,34497,1071
2023-10-14 00:00:00,125722,103502,22220,0,125722,2036,0,0,44700,2154,7989,33235,1322
2023-10-15 00:00:00,111565,91527,20038,0,111565,2174,0,0,37551,1966,6599,27940,1046
2023-10-16 00:00:00,103194,82070,21124,0,103194,2148,0,0,33949,1659,7560,23812,918
2023-10-17 00:00:00,175384,141285,34099,0,175384,2302,0,0,72235,1930,15275,53774,1256
2023-10-18 00:00:00,180779,146411,34368,0,180779,2376,0,0,66775,2082,13687,49569,1437
2023-10-19 00:00:00,128470,105637,22833,0,128470,2164,0,0,44019,1725,6817,34453,1024
2023-10-20 00:00:00,143577,117351,26226,0,143577,2166,0,0,44930,1865,6968,34891,1206
2023-10-21 00:00:00,101278,82506,18772,0,101278,2143,0,0,37860,1173,6922,28940,825
2023-10-22 00:00:00,101797,83905,17892,0,101797,1981,0,0,45010,954,7688,35562,806
2023-10-23 00:00:00,99901,79378,20523,0,99901,1958,0,0,37873,1077,7250,28852,694
2023-10-24 00:00:00,103423,81267,22156,0,103423,2061,0,0,32988,1374,8021,22904,689
