mes,inicio_semana,pvs_totales,pvs_totales_usa,pvs_totales_mexico,pvs_ole_usa,pvs_ole_no_usa,notas_unicas,notas_unicas_usa,porc_notas_unicas_usa,browsers_unicos,browsers_unicos_arg,browsers_unicos_mex,browsers_unicos_usa,browsers_unicos_otros
2023-10-01 00:00:00,2023-09-25 00:00:00,152170,123095,29075,0,152170,2405,0,0,50869,1899,11193,36646,1131
2023-10-01 00:00:00,2023-10-02 00:00:00,781518,615454,166064,0,781518,8227,0,0,189306,6678,51567,126270,4791
2023-10-01 00:00:00,2023-10-09 00:00:00,785842,629392,156450,0,785842,7955,0,0,214183,7367,51632,149823,5361
2023-10-01 00:00:00,2023-10-16 00:00:00,934479,759165,175314,0,934479,8388,0,0,265822,6969,54389,198574,5890
2023-10-01 00:00:00,2023-10-23 00:00:00,707235,560667,146568,0,707235,8044,0,0,185465,5590,47916,127795,4164
2023-10-01 00:00:00,2023-10-30 00:00:00,297388,239497,57891,0,297388,3904,0,0,100641,2743,20568,75212,2118
2023-11-01 00:00:00,2023-10-30 00:00:00,635720,501832,133888,0,635720,7294,0,0,183185,4728,46778,127409,4270
2023-11-01 00:00:00,2023-11-06 00:00:00,689310,538494,150816,0,689310,7825,0,0,173619,4750,51752,113461,3656
2023-11-01 00:00:00,2023-11-13 00:00:00,704833,554228,150605,0,704833,6784,0,0,202816,3728,55322,140162,3604
2023-11-01 00:00:00,2023-11-20 00:00:00,910389,715181,195208,0,910389,7074,0,0,248240,4749,69269,169738,4484
2023-11-01 00:00:00,2023-11-27 00:00:00,425947,335551,90396,0,425947,5041,0,0,109104,3449,31814,71650,2191
2023-12-01 00:00:00,2023-11-27 00:00:00,293760,233164,60596,0,293760,4359,0,0,80524,2811,20328,55634,1751
2023-12-01 00:00:00,2023-12-04 00:00:00,629954,508551,121403,0,629954,7355,0,0,165894,4488,37343,120747,3316
2023-12-01 00:00:00,2023-12-11 00:00:00,567776,451231,116545,0,567776,6934,0,0,141899,4174,36578,98254,2893
2023-12-01 00:00:00,2023-12-18 00:00:00,552725,439020,113705,1,552724,6690,0,0,141949,4061,38392,96440,3056
2023-12-01 00:00:00,2023-12-25 00:00:00,430819,337888,92931,5,430814,6591,0,0,121067,3468,35482,79628,2489
2024-01-01 00:00:00,2024-01-01 00:00:00,442060,342457,99603,2,442058,6768,0,0,115043,4095,36350,72397,2201
2024-01-01 00:00:00,2024-01-08 00:00:00,500822,394629,106193,5830,494992,6438,2,0,117691,4015,33962,77678,2036
2024-01-01 00:00:00,2024-01-15 00:00:00,602851,467154,135697,327,602524,7035,2,0,170051,4746,50283,112286,2736
2024-01-01 00:00:00,2024-01-22 00:00:00,611044,484727,126317,24,611020,7881,1,0,160580,5324,40100,112194,2962
2024-01-01 00:00:00,2024-01-29 00:00:00,301114,244684,56430,3,301111,4423,1,0,83275,3153,16137,62333,1652
2024-02-01 00:00:00,2024-01-29 00:00:00,354984,286304,68680,2552,352432,5182,4,0,96906,3713,21361,69915,1917
2024-02-01 00:00:00,2024-02-05 00:00:00,701969,558841,143128,132,701837,7691,4,0,178115,5879,45464,123413,3359
2024-02-01 00:00:00,2024-02-12 00:00:00,634371,502280,132091,5,634366,7569,3,0,136202,5523,35831,92101,2747
2024-02-01 00:00:00,2024-02-19 00:00:00,611859,494401,117458,14,611845,8181,3,0,140657,5471,29469,102693,3024
2024-02-01 00:00:00,2024-02-26 00:00:00,323516,257566,65950,62,323454,5343,3,0,79806,3052,19467,55746,1541
2024-03-01 00:00:00,2024-02-26 00:00:00,256319,207607,48712,28,256291,4330,3,0,71919,2432,16283,51845,1359
2024-03-01 00:00:00,2024-03-04 00:00:00,653568,534533,119035,1625,651943,7585,5,0,170059,4815,33662,128514,3068
2024-03-01 00:00:00,2024-03-11 00:00:00,707961,565437,142524,605,707356,7597,7,0,207335,5652,51293,146772,3618
2024-03-01 00:00:00,2024-03-18 00:00:00,722657,586212,136445,766,721891,7700,8,0,225326,6528,44418,170143,4237
2024-03-01 00:00:00,2024-03-25 00:00:00,658656,539356,119300,12,658644,7666,4,0,185056,6198,35093,140285,3480
2024-04-01 00:00:00,2024-04-01 00:00:00,713031,550233,162798,12,713019,7972,2,0,217143,6280,69548,137607,3708
2024-04-01 00:00:00,2024-04-08 00:00:00,762926,587030,175896,65,762861,8141,4,0,230600,6517,69206,150932,3945
2024-04-01 00:00:00,2024-04-15 00:00:00,801449,616979,184470,16,801433,8102,0,0,234890,7747,74411,148396,4336
2024-04-01 00:00:00,2024-04-22 00:00:00,667522,526849,140673,1948,665574,8248,26,0,201596,6200,55394,136159,3843
2024-04-01 00:00:00,2024-04-29 00:00:00,203060,166083,36977,1210,201850,3417,37,"0,01",67656,2665,12678,50928,1385
2024-05-01 00:00:00,2024-04-29 00:00:00,545099,420806,124293,90460,454639,6353,96,"0,02",226997,4556,63574,155760,3107
2024-05-01 00:00:00,2024-05-06 00:00:00,663981,524903,139078,13454,650527,7695,180,"0,02",185988,6162,47586,128366,3874
2024-05-01 00:00:00,2024-05-13 00:00:00,676013,538964,137049,22169,653844,7515,249,"0,03",183882,5756,46706,127971,3449
